id,education_level,country,university,program,ranking,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
1,bakalavriat,Almaniya Federativ Respublikası,Technical University of Munich,Architecture,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
2,bakalavriat,Almaniya Federativ Respublikası,Technical University of Munich,Landscape Architecture and Landscape Planning,28,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2
3,bakalavriat,Birləşmiş Ərəb Əmirlikləri,Abu Dhabi University,Architecture,501,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,24.1
4,bakalavriat,Birləşmiş Ərəb Əmirlikləri,Abu Dhabi University,Interior Design,501,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,24.1
5,bakalavriat,Birləşmiş Ərəb Əmirlikləri,United Arab Emirates University,Architectural Engineering,261,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,39.4
6,bakalavriat,Birləşmiş Ərəb Əmirlikləri,University of Sharjah,Architectural Engineering,332,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,33.6
7,bakalavriat,Birləşmiş Ərəb Əmirlikləri,University of Sharjah,Architecture,332,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,33.6
8,bakalavriat,Birləşmiş Krallıq,UCL,Architecture,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
9,bakalavriat,Birləşmiş Krallıq,UCL,Engineering and Architectural Design,9,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
10,bakalavriat,Birləşmiş Krallıq,University of Cambridge,Architecture,5,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,96.7
11,bakalavriat,Birləşmiş Krallıq,University of Edinburgh,Architecture,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
12,bakalavriat,Birləşmiş Krallıq,University of Edinburgh,Interior Design,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
13,bakalavriat,Birləşmiş Krallıq,University of Edinburgh,Structural Engineering with Architecture,27,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,83.3
14,bakalavriat,Çin Xalq Respublikası,Beijing Normal University,Urban and Rural Planning and Resource management,271,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,19.7,38.5
15,bakalavriat,Çin Xalq Respublikası,Chinese University of Hong Kong,Architectural Studies,36,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,81.3
16,bakalavriat,Çin Xalq Respublikası,Chinese University of Hong Kong,Urban studies,36,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,81.3
17,bakalavriat,Çin Xalq Respublikası,Chongqing University,Architecture,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
18,bakalavriat,Çin Xalq Respublikası,Chongqing University,Landscape Architecture,489,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
19,bakalavriat,Çin Xalq Respublikası,Dalian University of Technology,Architecture,448,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,26.6
20,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Architecture,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
21,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Environmental Design,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
22,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Landscape Architecture,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
23,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Road Bridge and River Crossing Engineering,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
24,bakalavriat,Çin Xalq Respublikası,Harbin Institute of Technology,Urban and Rural Planning,252,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
25,bakalavriat,Çin Xalq Respublikası,Huazhong University of Science and Technology,Architecture,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
26,bakalavriat,Çin Xalq Respublikası,Huazhong University of Science and Technology,Landscape Architecture,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
27,bakalavriat,Çin Xalq Respublikası,Huazhong University of Science and Technology,Urban and Rural Planning,300,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
28,bakalavriat,Çin Xalq Respublikası,Hunan University,Architecture,448,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,26.6
29,bakalavriat,Çin Xalq Respublikası,Hunan University,Urban Planning,448,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,26.6
30,bakalavriat,Çin Xalq Respublikası,Xiamen University,Architecture,362,23.6,16.2,19.0,72.2,5.1,3.1,62.6,46.0,15.4,31.7
31,bakalavriat,Çin Xalq Respublikası,Nanjing University,Architecture,145,57.1,32.5,35.6,93.0,61.9,7.6,67.1,29.0,16.5,53
